zone_seg,rush_seg,eps,factor,revenue_multiplier
core,0,-0.3,0.8,0.8553876799929505
core,0,-0.3,0.8200000000000001,0.8703014291033819
core,0,-0.3,0.8400000000000001,0.8851064391311988
core,0,-0.3,0.86,0.8998060644572552
core,0,-0.3,0.88,0.9144034806195819
core,0,-0.3,0.9,0.928901697685371
core,0,-0.3,0.92,0.9433035723489462
core,0,-0.3,0.9400000000000001,0.9576118189020933
core,0,-0.3,0.96,0.971829019203561
core,0,-0.3,0.98,0.9859576317579406
core,0,-0.3,1.0,1.0
core,0,-0.3,1.02,1.013958359868475
core,0,-0.3,1.04,1.0278348467429672
core,0,-0.3,1.06,1.041631501808699
core,0,-0.3,1.08,1.0553502779061965
core,0,-0.3,1.1,1.068993044916333
core,0,-0.3,1.12,1.082561594725394
core,0,-0.3,1.1400000000000001,1.0960576458098223
core,0,-0.3,1.16,1.109482847475922
core,0,-0.3,1.18,1.1228387837859766
core,0,-0.3,1.2,1.1361269771988887
core,0,-0.6,0.8,0.9146101038546527
core,0,-0.6,0.8200000000000001,0.9236885091455962
core,0,-0.6,0.8400000000000001,0.9326350102279887
core,0,-0.6,0.86,0.9414545972489001
core,0,-0.6,0.88,0.9501519606468252
core,0,-0.6,0.9,0.9587315155141827
core,0,-0.6,0.92,0.9671974234850909
core,0,-0.6,0.9400000000000001,0.9755536124478463
core,0,-0.6,0.96,0.9838037943397453
core,0,-0.6,0.98,0.99195148124666
core,0,-0.6,1.0,1.0
core,0,-0.6,1.02,1.0079525054384
core,0,-0.6,1.04,1.0158119924799414
core,0,-0.6,1.06,1.023581307132307
core,0,-0.6,1.08,1.0312631565524872
core,0,-0.6,1.1,1.0388601182540846
core,0,-0.6,1.12,1.0463746485485608
core,0,-0.6,1.1400000000000001,1.0538090902966404
core,0,-0.6,1.16,1.0611656800373104
core,0,-0.6,1.18,1.0684465545542128
core,0,-0.6,1.2,1.0756537569325701
core,0,-0.9,0.8,0.9779327685429285
core,0,-0.9,0.8200000000000001,0.9803505238485178
core,0,-0.9,0.8400000000000001,0.9827157772761715
core,0,-0.9,0.86,0.9850308790880502
core,0,-0.9,0.88,0.9872980226511102
core,0,-0.9,0.9,0.9895192582062144
core,0,-0.9,0.92,0.9916965051523726
core,0,-0.9,0.9400000000000001,0.9938315630347766
core,0,-0.9,0.96,0.9959261213978506
core,0,-0.9,0.98,0.9979817686415696
core,0,-0.9,1.0,1.0
core,0,-0.9,1.02,1.0019822247447452
core,0,-0.9,1.04,1.0039297727022005
core,0,-0.9,1.06,1.0058439001618265
core,0,-0.9,1.08,1.0077257952426748
core,0,-0.9,1.1,1.009576582776887
core,0,-0.9,1.12,1.0113973287615656
core,0,-0.9,1.1400000000000001,1.0131890444241456
core,0,-0.9,1.16,1.0149526899409642
core,0,-0.9,1.18,1.0166891778440417
core,0,-0.9,1.2,1.0183993761470242
core,1,-1.2,0.8,1.0456395525912732
core,1,-1.2,0.8200000000000001,1.0404883682044075
core,1,-1.2,0.8400000000000001,1.0354857884559052
core,1,-1.2,0.86,1.0306241380012662
core,1,-1.2,0.88,1.025896304910234
core,1,-1.2,0.9,1.0212956876001351
core,1,-1.2,0.92,1.0168161478219546
core,1,-1.2,0.9400000000000001,1.0124519688936626
core,1,-1.2,0.96,1.0081978184971665
core,1,-1.2,0.98,1.0040487154565745
core,1,-1.2,1.0,1.0
core,1,-1.2,1.02,0.9960473070779878
core,1,-1.2,1.04,0.9921865423712195
core,1,-1.2,1.06,0.9884138606704549
core,1,-1.2,1.08,0.9847256463542591
core,1,-1.2,1.1,0.9811184957262643
core,1,-1.2,1.12,0.9775892010045749
core,1,-1.2,1.1400000000000001,0.9741347357823092
core,1,-1.2,1.16,0.9707522418009031
core,1,-1.2,1.18,0.9674390168972612
core,1,-1.2,1.2,0.9641925040026272
core,1,-1.4,0.8,1.0933620739432781
core,1,-1.4,0.8200000000000001,1.0826160443686705
core,1,-1.4,0.8400000000000001,1.0722308180941476
core,1,-1.4,0.86,1.0621861138308528
core,1,-1.4,0.88,1.0524632284284718
core,1,-1.4,0.9,1.0430448815106326
core,1,-1.4,0.92,1.033915078471479
core,1,-1.4,0.9400000000000001,1.0250589893166537
core,1,-1.4,0.96,1.0164628412224455
core,1,-1.4,0.98,1.0081138230099973
core,1,-1.4,1.0,1.0
core,1,-1.4,1.02,0.9921102379373113
core,1,-1.4,1.04,0.9844341348625557
core,1,-1.4,1.06,0.9769619599654735
core,1,-1.4,1.08,0.9696845985878134
core,1,-1.4,1.1,0.9625935026561677
core,1,-1.4,1.12,0.9556806459207631
core,1,-1.4,1.1400000000000001,0.9489384834576694
core,1,-1.4,1.16,0.9423599149614791
core,1,-1.4,1.18,0.9359382514151393
core,1,-1.4,1.2,0.9296671847748563
core,1,-1.6,0.8,1.143262629818316
core,1,-1.6,0.8200000000000001,1.1264494013970685
core,1,-1.6,0.8400000000000001,1.1102797740809387
core,1,-1.6,0.86,1.0947146479638374
core,1,-1.6,0.88,1.079718137098665
core,1,-1.6,0.9,1.065257239460203
core,1,-1.6,0.92,1.0513015472664031
core,1,-1.6,0.9400000000000001,1.037822991965794
core,1,-1.6,0.96,1.0247956191039014
core,1,-1.6,0.98,1.0121953890272042
core,1,-1.6,1.0,1.0
core,1,-1.6,1.02,0.9881887308219607
core,1,-1.6,1.04,0.976742300461482
core,1,-1.6,1.06,0.9656427425776481
core,1,-1.6,1.08,0.9548732931041548
core,1,-1.6,1.1,0.9444182893218951
core,1,-1.6,1.12,0.9342630790612149
core,1,-1.6,1.1400000000000001,0.924393938856702
core,1,-1.6,1.16,0.9147980000321643
core,1,-1.6,1.18,0.905463181825604
core,1,-1.6,1.2,0.8963781307771418
mid,0,-0.5,0.8,0.8944271909999159
mid,0,-0.5,0.8200000000000001,0.9055385138137417
mid,0,-0.5,0.8400000000000001,0.9165151389911681
mid,0,-0.5,0.86,0.9273618495495703
mid,0,-0.5,0.88,0.938083151964686
mid,0,-0.5,0.9,0.9486832980505138
mid,0,-0.5,0.92,0.9591663046625439
mid,0,-0.5,0.9400000000000001,0.9695359714832659
mid,0,-0.5,0.96,0.9797958971132712
mid,0,-0.5,0.98,0.9899494936611666
mid,0,-0.5,1.0,1.0
mid,0,-0.5,1.02,1.0099504938362078
mid,0,-0.5,1.04,1.019803902718557
mid,0,-0.5,1.06,1.0295630140987
mid,0,-0.5,1.08,1.0392304845413265
mid,0,-0.5,1.1,1.0488088481701516
mid,0,-0.5,1.12,1.0583005244258363
mid,0,-0.5,1.1400000000000001,1.0677078252031311
mid,0,-0.5,1.16,1.0770329614269007
mid,0,-0.5,1.18,1.0862780491200215
mid,0,-0.5,1.2,1.0954451150103321
mid,0,-0.8,0.8,0.956352499790037
mid,0,-0.8,0.8200000000000001,0.9610871496100634
mid,0,-0.8,0.8400000000000001,0.96573029890751
mid,0,-0.8,0.86,0.9702858327569769
mid,0,-0.8,0.88,0.974757385530792
mid,0,-0.8,0.9,0.9791483623609768
mid,0,-0.8,0.92,0.9834619583314298
mid,0,-0.8,0.9400000000000001,0.9877011756841471
mid,0,-0.8,0.96,0.9918688392825663
mid,0,-0.8,0.98,0.9959676105409553
mid,0,-0.8,1.0,1.0
mid,0,-0.8,1.02,1.0039683787044291
mid,0,-0.8,1.04,1.0078749885178921
mid,0,-0.8,1.06,1.0117219514927542
mid,0,-0.8,1.08,1.0155112783974816
mid,0,-0.8,1.1,1.0192448764914566
mid,0,-0.8,1.12,1.0229245566260303
mid,0,-0.8,1.1400000000000001,1.0265520397411134
mid,0,-0.8,1.16,1.030128962818399
mid,0,-0.8,1.18,1.0336568843451934
mid,0,-0.8,1.2,1.0371372893366482
mid,0,-1.1,0.8,1.0225651825635729
mid,0,-1.1,0.8200000000000001,1.0200433168274803
mid,0,-1.1,0.8400000000000001,1.0175882214608742
mid,0,-1.1,0.86,1.015196600664751
mid,0,-1.1,0.88,1.0128653932829546
mid,0,-1.1,0.9,1.0105917512032914
mid,0,-1.1,0.92,1.0083730201775307
mid,0,-1.1,0.9400000000000001,1.0062067227432256
mid,0,-1.1,0.96,1.0040905429776572
mid,0,-1.1,0.98,1.0020223128536483
mid,0,-1.1,1.0,1.0
mid,0,-1.1,1.02,0.9980216966970146
mid,0,-1.1,1.04,0.9960856099609208
mid,0,-1.1,1.06,0.9941900525907785
mid,0,-1.1,1.08,0.9923334350682028
mid,0,-1.1,1.1,0.9905142582145218
mid,0,-1.1,1.12,0.9887311065221802
mid,0,-1.1,1.1400000000000001,0.9869826420876454
mid,0,-1.1,1.16,0.9852675990820479
mid,0,-1.1,1.18,0.9835847787035245
mid,0,-1.1,1.2,0.9819330445619127
mid,1,-1.0,0.8,1.0
mid,1,-1.0,0.8200000000000001,1.0
mid,1,-1.0,0.8400000000000001,1.0
mid,1,-1.0,0.86,1.0
mid,1,-1.0,0.88,1.0
mid,1,-1.0,0.9,1.0
mid,1,-1.0,0.92,1.0
mid,1,-1.0,0.9400000000000001,1.0
mid,1,-1.0,0.96,1.0
mid,1,-1.0,0.98,1.0
mid,1,-1.0,1.0,1.0
mid,1,-1.0,1.02,1.0
mid,1,-1.0,1.04,1.0
mid,1,-1.0,1.06,1.0
mid,1,-1.0,1.08,1.0
mid,1,-1.0,1.1,1.0
mid,1,-1.0,1.12,1.0
mid,1,-1.0,1.1400000000000001,1.0
mid,1,-1.0,1.16,1.0
mid,1,-1.0,1.18,1.0
mid,1,-1.0,1.2,1.0
mid,1,-1.2,0.8,1.0456395525912732
mid,1,-1.2,0.8200000000000001,1.0404883682044075
mid,1,-1.2,0.8400000000000001,1.0354857884559052
mid,1,-1.2,0.86,1.0306241380012662
mid,1,-1.2,0.88,1.025896304910234
mid,1,-1.2,0.9,1.0212956876001351
mid,1,-1.2,0.92,1.0168161478219546
mid,1,-1.2,0.9400000000000001,1.0124519688936626
mid,1,-1.2,0.96,1.0081978184971665
mid,1,-1.2,0.98,1.0040487154565745
mid,1,-1.2,1.0,1.0
mid,1,-1.2,1.02,0.9960473070779878
mid,1,-1.2,1.04,0.9921865423712195
mid,1,-1.2,1.06,0.9884138606704549
mid,1,-1.2,1.08,0.9847256463542591
mid,1,-1.2,1.1,0.9811184957262643
mid,1,-1.2,1.12,0.9775892010045749
mid,1,-1.2,1.1400000000000001,0.9741347357823092
mid,1,-1.2,1.16,0.9707522418009031
mid,1,-1.2,1.18,0.9674390168972612
mid,1,-1.2,1.2,0.9641925040026272
mid,1,-1.4,0.8,1.0933620739432781
mid,1,-1.4,0.8200000000000001,1.0826160443686705
mid,1,-1.4,0.8400000000000001,1.0722308180941476
mid,1,-1.4,0.86,1.0621861138308528
mid,1,-1.4,0.88,1.0524632284284718
mid,1,-1.4,0.9,1.0430448815106326
mid,1,-1.4,0.92,1.033915078471479
mid,1,-1.4,0.9400000000000001,1.0250589893166537
mid,1,-1.4,0.96,1.0164628412224455
mid,1,-1.4,0.98,1.0081138230099973
mid,1,-1.4,1.0,1.0
mid,1,-1.4,1.02,0.9921102379373113
mid,1,-1.4,1.04,0.9844341348625557
mid,1,-1.4,1.06,0.9769619599654735
mid,1,-1.4,1.08,0.9696845985878134
mid,1,-1.4,1.1,0.9625935026561677
mid,1,-1.4,1.12,0.9556806459207631
mid,1,-1.4,1.1400000000000001,0.9489384834576694
mid,1,-1.4,1.16,0.9423599149614791
mid,1,-1.4,1.18,0.9359382514151393
mid,1,-1.4,1.2,0.9296671847748563
outer,0,-1.3,0.8,1.069234599991188
outer,0,-1.3,0.8200000000000001,1.0613432062236365
outer,0,-1.3,0.8400000000000001,1.0536981418228557
outer,0,-1.3,0.86,1.0462861214619248
outer,0,-1.3,0.88,1.039094864340434
outer,0,-1.3,0.9,1.03211299742819
outer,0,-1.3,0.92,1.0253299699445066
outer,0,-1.3,0.9400000000000001,1.0187359775554183
outer,0,-1.3,0.96,1.0123218950037094
outer,0,-1.3,0.98,1.0060792160795313
outer,0,-1.3,1.0,1.0
outer,0,-1.3,1.02,0.9940768234004657
outer,0,-1.3,1.04,0.9883027372528531
outer,0,-1.3,1.06,0.982671228121414
outer,0,-1.3,1.08,0.9771761832464783
outer,0,-1.3,1.1,0.9718118590148481
outer,0,-1.3,1.12,0.9665728524333874
outer,0,-1.3,1.1400000000000001,0.961454075271774
outer,0,-1.3,1.16,0.9564507305826915
outer,0,-1.3,1.18,0.9515582913440479
outer,0,-1.3,1.2,0.946772480999074
outer,0,-1.5,0.8,1.118033988749895
outer,0,-1.5,0.8200000000000001,1.1043152607484654
outer,0,-1.5,0.8400000000000001,1.0910894511799618
outer,0,-1.5,0.86,1.0783277320343843
outer,0,-1.5,0.88,1.0660035817780522
outer,0,-1.5,0.9,1.0540925533894598
outer,0,-1.5,0.92,1.0425720702853738
outer,0,-1.5,0.9400000000000001,1.0314212462587933
outer,0,-1.5,0.96,1.0206207261596576
